en,sv
status,status
started,påbörjad
outline,skiss
incomplete,ofullständig
draft,utkast
written,skriven
revised,reviderad
done,färdig
proofs,korrektur
final,slutgiltig
title,titel
subtitle,undertitel
index,index
details,detaljer
references,referenser
reference,referens
author,författare
authors,författare
year,år
month,månad
article,artikel
book,bok
journal,tidskrift
volume,volym
number,nummer
pages,sidor
date,datum
update,uppdatera
commands,kommandon
edition published,upplaga publicerad
publisher,förlag
type,typ
words,ord
characters,tecken
